Longitude,Latitude,,
-122.72116,38.472852,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.7485,38.474805,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.75046,38.500195,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.75046,38.527539,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.75241,38.529492,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.73288,38.54707,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.69968,38.488477,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.66843,38.509961,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.67038,38.513867,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.6528,38.535352,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.66452,38.543164,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.64304,38.560742,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.62546,38.57832,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.65671,38.593945,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.67819,38.597852,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.68015,38.605664,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.68015,38.599805,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.7153,38.57832,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.71725,38.582227,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
